date	Algérie	Maroc	Tunisie
20200301	0	0	0
20200302	0	0	0
20200303	0	0	0
20200304	0	0	0
20200305	0	0	0
20200306	0	0	0
20200307	0	0	0
20200308	0	0	0
20200309	0	0	0
20200310	0	6	0
20200311	0	6	0
20200312	0	8	0
20200313	0	18	0
20200314	139	28	75
20200315	201	37	89
20200316	230	44	114
20200317	264	54	173
20200318	302	63	197
20200319	367	86	227
20200320	409	96	279
20200321	454	115	312
20200322	511	143	362
20200323	584	170	394
20200324	716	225	423
20200325	847	275	455
20200326	986	345	495
20200327	1171	402	553
20200328	1251	479	574
20200329	1320	556	596
20200330	1423	617	623
20200331	1468	654	628
20200401	1572	708	643
20200402	1666	791	671
20200403	1761	919	707
20200404	1825	1021	726
20200405	1914	1120	747
20200406	1983	1184	780
20200407	2070	1275	822
20200408	2160	1374	864
20200409	2268	1448	866
20200410	2418	1545	879
20200411	2534	1661	884
20200412	2629	1763	901
20200413	2718	1888	909
20200414	2811	2024	939
20200415	2910	2283	939
20200416	3007	2564	939
20200417	3127	2685	949
20200418	3256	2855	967
20200419	3382	3046	975
20200420	3517	3209	980
20200421	3649	3446	994
20200422	3848	3568	998
20200423	4006	3758	1009
20200424	4154	3897	1013
20200425	4295	4065	1018
20200426	4474	4120	1022
20200427	4648	4252	1025
20200428	4838	4321	1026
20200429	4997	4423	1030
20200430	5182	4569	1032
20200501	5369	4729	1032
20200502	5558	4903	1032
20200503	5723	5053	1032
20200504	5891	5219	1032
20200505	6067	5408	1032
20200506	6253	5548	1035
20200507	6442	5711	1037
20200508	6629	5910	1037
20200509	6821	6063	1043
20200510	7019	6281	1044
20200511	7201	6418	1045
20200512	7377	6512	1046
20200513	7542	6607	1048
20200514	7728	6652	1048
20200515	7918	6681	1051
20200516	8113	6798	1051
20200517	8306	6952	1051
20200518	8503	7023	1068
20200519	8697	7133	1071
20200520	8857	7211	1076
20200521	8997	7332	1077
20200522	9134	7406	1084
20200523	9267	7429	1086
20200524	9394	7495	1087
20200525	9513	7577	1087
20200526	9626	7584	1087
20200527	9733	7643	1087
20200528	9831	7714	1087
20200529	9935	7780	1087
20200530	10050	7783	1087
20200531	10154	7819	1087
20200601	10265	7866	1087
20200602	10382	7922	1093
20200603	10484	8003	1094
20200604	10589	8071	1096
20200605	10698	8151	1110
20200606	10810	8177	1125
20200607	10919	8302	1128
20200608	11031	8437	1132
20200609	11147	8455	1146
20200610	11268	8537	1156
20200611	11385	8610	1157
20200612	11504	8692	1159
20200613	11631	8793	1159
20200614	11771	8885	1160
20200615	11920	8921	1162
20200616	12076	8997	1164
20200617	12248	9074	1168
20200618	12445	9613	1169
20200619	12685	9801	1172
20200620	12968	9977	1174
20200621	13273	10172	1175
20200622	13571	10344	1178
20200623	13907	10907	1181
20200624	14272	11338	1186
20200625	14657	11633	1188
20200626	15070	11854	1199
20200627	15500	12052	1205
20200628	15941	12290	1199
20200629	16404	12385	1205
20200630	16879	12636	1221
20200701	17348	12969	1231
